id,cr,reference_en,baseline_prediction,cultural_prediction,CS_prediction
gen_00029,"Prive Manm: Manm ki benefisye de karakteristik yo nan sit la pou yon frè sèten,","Special Member: Members who take advantage of the features of the site for a fee,","Private Member: Members who benefit from the features of the site for a certain fee,","Private Members: Members who benefit from the features of the site for a certain fee,","Private Members: Members who benefit from the features of the site for a certain fee,"
ahl_12708_hat_eng,"rad la pa lave, ni manke lave.","The clothes are not washed, nor need washing.",the dress does not wash or miss wash.,the dress doesn’t wash or wash.,the garment is not washing or missing washing.
ahl_2427_hat_eng,kèlki l fè manje a,whatever he/she does with the food,kelki the food,why he did the food,what he did to eat
ahl_13514_hat_eng,li va konni.,he will know.,It's going to know.,he will know.,he will know.
ahl_3399_hat_eng,l ap mache,he is walking,l Markets,he is walking,he is walking
ahl_13243_hat_eng,"Ebèp kounè yo pitit, ou konn di a ti bèt sa yo pa gwo si, men yo rete ki an?","Well now, children, you know, they say these little animals aren’t very big, but where do they stay?","And overlap the children, you often say that these little animals aren't big if, but they stay there?","And then they are children, you usually say that these little animals are not big if, but they stay there?","Well now they are children, you know how to say these little animals are not great if, but they stay there?"
ahl_9142_hat_eng,se pou vin lakay la bi obye pwòp,it should be clean or tidy at home,Let's get home to own objection goals,it is to become the home of the goal to get clean,it is to come home for the purpose of getting clean
ahl_3950_hat_eng,m ap ri,I am laughing,I'm laughing,I’m laughing,I am laughing
gen_01164,JIS G3444 sanm Steel Kabòn Steel,Product: JIS G3445 Kabòn Steel Mechanical Tubin g,JIS G3444 Seamless Carbon Steel Tube,JIS G3444 Seamless Carbon Steel,JIS G3444 Double Alloy Steel
ahl_2492_hat_eng,alò gwon pakèt bagay yo konn mete dlo,so a lot of things they usually put water in,so as wide range of water puts,So the big bunch of things they usually put water,so the big lot of things they usually put water
gen_01113,"Nouyòk, Nouyòk, Etazini","New York, New York, United States","New York, New York, USA","New York, New York, United States","New York, New York, USA"
gen_00299,Jwèt kategori kabin.,Game category cabins.,Game category cabin.,Game category cabin.,Game cabin category.
gen_00159,"Russell M. Nelson, nan ""Eternal Laws: From Scrabble to the Commandments"" (video), Church News, 31 Out 2019, thechurchnews.com; gade tou Mozya 2:41; Doktrin ak Alyans 130:20–21.","Russell M. Nelson, in ""Eternal Laws: From Scrabble to the Commandments"" (video), Church News, Aug. 31, 2019, thechurchnews.com; see also Mosiah 2:41; Doctrine and Covenants 130:20–21.","Russell M. Nelson, in “Eternal Laws: From Scrabble to the Commandments” (video), Church News, 31 August 2019, thechurchnews.com; see also Mozya 2:41; Doctrine and Alliance 130:20–21.","Russell M. Nelson, in “Eternal Laws: From Scrabble to the Commandments” (video), Church News, 31 August 2019, thechurchnews.com; also watch Mozya 2:41; Doctrine and Alyans 130:20–21.","Russell M. Nelson, the ""Eternal Laws: From Scrabble to the Commandments"" (video), Church News, 31 August 2019, thechurchnews.com; also viewing Mozya 2:41; Docttrin and Alliance 130:20–21."
gen_00079,Dalton Cumbrian Etablisman - - atizay,the - art Dalton Cumbrian Facility,Dalton Cumbrian Facility - art,Dalton Cumbrian Facility - art,Dalton Cumbrian Facility - art
gen_00264,Vin Tounen Disip Jezikri pou Lavi,Becoming Lifelong Disciples of Jesus Christ,Become The Return of Jezikri Christ for Life,Become Back Disciples Jesus Christ for Life,Become Back Disip Christ Jesus Christ
fanm_58_hat_eng,Se konsa li te pran desizyon pou l ale vire lòlòj sòlda franse yo pou li vòlè minisyon yo pou pote bay lame endijèn nan.,She took it upon herself to woo the French sol­diers in order to steal ammunition that the native army badly needed.,So it was decision to go to the French soldiers' throat to steal their ammunition to bring homemade army.,So he made the decision to go turn the French soldier's throat to steal the ammunition to bring to the indigenous army.,So he made decisions to go turn the French soldier throat to steal the ammunition to bring the homemade army.
gen_00519,NCS Vag 1 NCS Vag 1,NCS Wave 1 NCS Wave 1,NCS Wave 1 NCS Wave 1,NCS Wave 1 NCS Wave 1,NCS Wave 1 NCS Wave 1
ahl_10118_hat_eng,esit se pa flè,this is not a flower,esit is not flower,it’s not a flower,it’s not a flower
ahl_16633_hat_eng,ou chita lawòp gaden,you are sitting in the garden,you sit in gaden,"you sit down there, gaden",you sit on the gaden
gen_00622,Pa fè afear'd (diskou Caliban nan entrigan yo nan tanpèt la Shakespeare la) pou bason ak gita.,Be not afear'd (Caliban's speech to the intruders in Shakespeare's The Tempest) for bassoon and guitar,By making afear'd (Assessing Gauge in the entrances of Shakespeare's storm) for bassoon and guitar.,Don’t make afear’d (Calan’s speech to the intruders of Shakespeare’s Storm) for bassoon and guitar.,Don’t make afear’d (the Gauge of the intricate in the Shakespeare storm) for bassoon and guitar.
ahl_1385_hat_eng,epi achita nou kwen,and sit down in our corner,and buys our edge,and buy our edge,and here we are looking for
ahl_1936_hat_eng,pèt tèt nou ap vole,our heads are flying away,We're flying,our head loss is flying,We are flying.
ahl_10169_hat_eng,yon toupiti pou ka met nan dife a,a little bit so it can be put in the fire,a standby to be met in the fire,a little bit to put in the fire,a little bit to be able to put in the fire
gen_01041,Nou te ppriye Senyè a pou volonte L te fèt.,We pleaded with the Lord that His will be done.,We were unsuitable to the Lord for the will of L.,We were approving the Lord for the will of L was born.,We were inappropriate to the Lord's will be born.
ahl_13504_hat_eng,l ap viri,he is turning,lifelike,he is reading,he is living
ahl_6574_hat_eng,tèlman chante ou dous,your singing is so sweet,so song you sleek,so your song is sweet,so many songs you are sweet
gen_00613,"Seri LWP120 peyi Lachin te dirije miray panèl reskonsab Sync ak RF BT rimòt manifaktirè, distribitè, faktori ak konpayi - pwodwi - Shenzhen Hoion ekleraj co, Ltd","China LWP120 Series Led Wall Panel Dimming Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd","China LWP120 Series Led Wall Panel Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd","China LWP120 Series Led Wall Panel Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd","China LWP120 Series Led Wall Panel Sync Controller With RF BT Remote Manufacturer, Supplier, Factory and Company - Products - Shenzhen Hoion Lighting Co.,Ltd"
ahl_7391_hat_eng,yo pa rele m lòv jan ankò,they don’t call me love anymore,they don't call m goldv as yet,they don’t call me now,they don’t call me when again
gen_00453,Segondè Rezolisyon dirije Display,High Resolution Led Display,High Resolution LED Display,High Resolution LED Display,High Resolution LED Display
gen_00891,Nou te jwenn plizyè id pozisyon.,Multiple position ids were found.,We found several idols.,We found several id positions.,We found several id positions.
ahl_4494_hat_eng,kwa konnen yo,who knows them,the cross know,let them know them,I know them
gen_00558,DMT seri tourèl par double-motè kout pwen an pou machin DMT-300,DMT Series Dual-Motor Driven Turret Punch Machine DMT-300Chat Now,DMT Series Dual-Motor Driven Turret Punch Machine DMT-300,DMT series dual-motor turret molding punch machine DMT-300,DMT Series Dual-Motor Driven Punch Machine DMT-300
ahl_743_hat_eng,e men lòt moun ou konnen konn pa lo de moun yo,and here are other people you know who don’t talk about people,and but others you know that don't housers of people,and here are others you know that there are no batches of people,and others you know how to know not to bathe the two people
gen_01177,epi lang mwen te libere.,and my tongue liberated.,and my language was released.,and my language was released.,and my language was released.
ahl_2487_hat_eng,atansyon pa kraze,attention do not break,Attention not to break,attention does not break,attention is not broken
ahl_8678_hat_eng,avan male m gen wawòl m tou.,"before I get sick, I also have my say.",I've been my kingdom too.,before I have my kingdom too.,before my male has my kingdom too.
